token	fake	true	
$100	0.0003891807744697412	0.00020652622883106158	
$6	0.0003891807744697412	0.00020652622883106158	
&	0.0003891807744697412	0.0004130524576621232	
-	0.0007783615489394825	0.0004130524576621232	
10	0.000583771161704612	0.0004130524576621232	
100%	0.0003891807744697412	0.00020652622883106158	
15	0.0013621327106440944	0.00020652622883106158	
16	0.0003891807744697412	0.00020652622883106158	
2	0.0009729519361743531	0.00020652622883106158	
2-3	0.0003891807744697412	0.00020652622883106158	
2/5	0.0003891807744697412	0.00020652622883106158	
20	0.0007783615489394825	0.00020652622883106158	
25	0.000583771161704612	0.00020652622883106158	
3	0.0003891807744697412	0.00020652622883106158	
3/5	0.0003891807744697412	0.00020652622883106158	
30	0.0003891807744697412	0.00020652622883106158	
4	0.0007783615489394825	0.00020652622883106158	
4/5	0.0007783615489394825	0.0004130524576621232	
5	0.0003891807744697412	0.00020652622883106158	
50	0.0003891807744697412	0.00020652622883106158	
5pm	0.0003891807744697412	0.00020652622883106158	
6pm	0.0003891807744697412	0.0004130524576621232	
7	0.0003891807744697412	0.00020652622883106158	
8	0.000583771161704612	0.00020652622883106158	
a	0.016345592527729127	0.01755472945064024	
abc	0.0003891807744697412	0.00020652622883106158	
about	0.0017513134851138365	0.0014456836018174313	
abruptly	0.0003891807744697412	0.00020652622883106158	
absolutely	0.0003891807744697412	0.00020652622883106158	
acceptable	0.0003891807744697412	0.00020652622883106158	
accord	0.0003891807744697412	0.00020652622883106158	
acknowledge	0.0003891807744697412	0.00020652622883106158	
additional	0.0003891807744697412	0.00020652622883106158	
aforementioned	0.0003891807744697412	0.00020652622883106158	
after	0.0009729519361743531	0.001652209830648493	
again	0.0019459038723487064	0.0008261049153242466	
ago	0.000583771161704612	0.00020652622883106158	
all	0.0017513134851138365	0.0018587360594795556	
almost	0.0003891807744697412	0.0004130524576621232	
along	0.0007783615489394825	0.00020652622883106158	
already	0.0003891807744697412	0.0010326311441553081	
also	0.0015567230978789652	0.0010326311441553081	
although	0.0003891807744697412	0.0004130524576621232	
always	0.0009729519361743531	0.0012391573729863688	
am	0.0003891807744697412	0.0004130524576621232	
amazing	0.0019459038723487064	0.0012391573729863688	
ambiance	0.0009729519361743531	0.0004130524576621232	
american	0.0003891807744697412	0.0008261049153242466	
amount	0.0003891807744697412	0.0004130524576621232	
an	0.0017513134851138365	0.001652209830648493	
and	0.027048063825647006	0.021272201569599344	
angry	0.0003891807744697412	0.00020652622883106158	
another	0.0003891807744697412	0.00020652622883106158	
answering	0.0003891807744697412	0.00020652622883106158	
any	0.0017513134851138365	0.0010326311441553081	
anybody	0.0003891807744697412	0.00020652622883106158	
anyone	0.0003891807744697412	0.00020652622883106158	
appetizer	0.0007783615489394825	0.0004130524576621232	
applebee	0.0003891807744697412	0.0004130524576621232	
applied	0.000583771161704612	0.00020652622883106158	
are	0.0025296750340533165	0.0033044196612969866	
area	0.0009729519361743531	0.0004130524576621232	
around	0.0007783615489394825	0.001652209830648493	
arrive	0.0003891807744697412	0.00020652622883106158	
arrived	0.0003891807744697412	0.0004130524576621232	
artichoke-olive	0.0003891807744697412	0.00020652622883106158	
as	0.0031134461957579304	0.0035109458901280474	
asap	0.0003891807744697412	0.00020652622883106158	
ask	0.000583771161704612	0.0008261049153242466	
asked	0.001167542323409223	0.0010326311441553081	
asking	0.0003891807744697412	0.00020652622883106158	
assistant	0.0003891807744697412	0.00020652622883106158	
at	0.005253940455341506	0.003717472118959108	
ate	0.0007783615489394825	0.000619578686493185	
atmosphere	0.000583771161704612	0.000619578686493185	
attendant	0.000583771161704612	0.00020652622883106158	
attended	0.0003891807744697412	0.00020652622883106158	
attentive	0.0003891807744697412	0.000619578686493185	
attitude	0.0003891807744697412	0.00020652622883106158	
audience	0.0003891807744697412	0.00020652622883106158	
authentic	0.0003891807744697412	0.0004130524576621232	
average	0.0007783615489394825	0.00020652622883106158	
avoid	0.0003891807744697412	0.00020652622883106158	
away	0.000583771161704612	0.000619578686493185	
awesome	0.0003891807744697412	0.0008261049153242466	
awful	0.0003891807744697412	0.00020652622883106158	
back	0.0017513134851138365	0.0020652622883106163	
bad	0.0009729519361743531	0.0014456836018174313	
baked	0.0003891807744697412	0.0004130524576621232	
balanced	0.0003891807744697412	0.00020652622883106158	
banana	0.000583771161704612	0.00020652622883106158	
bar	0.0003891807744697412	0.0012391573729863688	
barely	0.0003891807744697412	0.0004130524576621232	
be	0.0021404942595835766	0.002478314745972738	
bean	0.0003891807744697412	0.00020652622883106158	
because	0.0003891807744697412	0.000619578686493185	
beef	0.0003891807744697412	0.00020652622883106158	
been	0.0003891807744697412	0.0020652622883106163	
beer	0.0007783615489394825	0.000619578686493185	
beers	0.0003891807744697412	0.0004130524576621232	
before	0.0015567230978789652	0.0008261049153242466	
began	0.000583771161704612	0.0004130524576621232	
being	0.0003891807744697412	0.000619578686493185	
believe	0.0007783615489394825	0.0004130524576621232	
below	0.0003891807744697412	0.00020652622883106158	
best	0.0036972173574625405	0.002891367203634863	
better	0.000583771161704612	0.00020652622883106158	
birthday	0.0007783615489394825	0.00020652622883106158	
bit	0.000583771161704612	0.0004130524576621232	
bite	0.0003891807744697412	0.000619578686493185	
black	0.000583771161704612	0.00020652622883106158	
blackjack	0.0003891807744697412	0.00020652622883106158	
bland	0.000583771161704612	0.0008261049153242466	
blanking	0.0003891807744697412	0.00020652622883106158	
blast	0.0003891807744697412	0.00020652622883106158	
blvd	0.0003891807744697412	0.00020652622883106158	
both	0.0007783615489394825	0.0004130524576621232	
bought	0.0003891807744697412	0.00020652622883106158	
bowl	0.0003891807744697412	0.00020652622883106158	
bread	0.0009729519361743531	0.0008261049153242466	
breast	0.0003891807744697412	0.00020652622883106158	
brewed	0.000583771161704612	0.00020652622883106158	
brilliant	0.0003891807744697412	0.00020652622883106158	
bring	0.001167542323409223	0.0004130524576621232	
britain	0.0003891807744697412	0.00020652622883106158	
brought	0.0003891807744697412	0.0004130524576621232	
brownie	0.0003891807744697412	0.00020652622883106158	
brunch	0.000583771161704612	0.00020652622883106158	
brutal	0.0003891807744697412	0.00020652622883106158	
