token	negative	positive	
$100	0.00035568202027387493	0.00022946305644791178	
$6	0.00035568202027387493	0.00022946305644791178	
$7	0.00035568202027387493	0.00022946305644791178	
&	0.0005335230304108126	0.00022946305644791178	
*tangent	0.00035568202027387493	0.00022946305644791178	
-	0.00035568202027387493	0.0009178522257916473	
/	0.00035568202027387493	0.00022946305644791178	
10	0.0005335230304108126	0.0004589261128958236	
10%	0.00035568202027387493	0.00022946305644791178	
15	0.0010670460608216243	0.0004589261128958236	
2	0.00071136404054775	0.0004589261128958236	
2-3	0.00035568202027387493	0.00022946305644791178	
2/5	0.00035568202027387493	0.00022946305644791178	
20	0.00071136404054775	0.00022946305644791178	
20%	0.00035568202027387493	0.00022946305644791178	
25	0.0005335230304108126	0.00022946305644791178	
3/5	0.00035568202027387493	0.00022946305644791178	
30	0.00035568202027387493	0.00022946305644791178	
4	0.0005335230304108126	0.0004589261128958236	
4/5	0.0008892050506846875	0.00022946305644791178	
5	0.00035568202027387493	0.00022946305644791178	
6	0.0005335230304108126	0.00022946305644791178	
6pm	0.0005335230304108126	0.00022946305644791178	
7	0.00035568202027387493	0.00022946305644791178	
8	0.00035568202027387493	0.0004589261128958236	
9	0.00035568202027387493	0.00022946305644791178	
90	0.00035568202027387493	0.00022946305644791178	
a	0.01796194202383069	0.015603487838458005	
abc	0.00035568202027387493	0.00022946305644791178	
about	0.001778410101369375	0.0013767783386874702	
abruptly	0.00035568202027387493	0.00022946305644791178	
acceptable	0.00035568202027387493	0.00022946305644791178	
acknowledge	0.00035568202027387493	0.00022946305644791178	
across	0.00035568202027387493	0.00022946305644791178	
actual	0.0005335230304108126	0.00022946305644791178	
actually	0.00035568202027387493	0.00022946305644791178	
add	0.0005335230304108126	0.0004589261128958236	
additional	0.00035568202027387493	0.00022946305644791178	
adorable	0.00035568202027387493	0.00022946305644791178	
aforementioned	0.00035568202027387493	0.00022946305644791178	
after	0.0014227280810955002	0.001147315282239559	
again	0.0014227280810955002	0.0013767783386874702	
aghast	0.00035568202027387493	0.00022946305644791178	
ago	0.00035568202027387493	0.0004589261128958236	
all	0.001600569091232438	0.0020651675080312075	
almost	0.0005335230304108126	0.00022946305644791178	
already	0.0008892050506846875	0.0004589261128958236	
also	0.0014227280810955002	0.001147315282239559	
although	0.0005335230304108126	0.00022946305644791178	
am	0.0005335230304108126	0.00022946305644791178	
ambiance	0.00035568202027387493	0.001147315282239559	
american	0.00071136404054775	0.0004589261128958236	
amount	0.0005335230304108126	0.00022946305644791178	
an	0.001778410101369375	0.0016062413951353828	
and	0.022230126267117192	0.026847177604405685	
angry	0.00035568202027387493	0.00022946305644791178	
another	0.00035568202027387493	0.00022946305644791178	
any	0.001600569091232438	0.001147315282239559	
anybody	0.00035568202027387493	0.00022946305644791178	
anywhere	0.00035568202027387493	0.0004589261128958236	
appalled	0.00035568202027387493	0.00022946305644791178	
appalling	0.00035568202027387493	0.00022946305644791178	
appetizer	0.00071136404054775	0.0004589261128958236	
applebees	0.00035568202027387493	0.00022946305644791178	
applied	0.0005335230304108126	0.00022946305644791178	
appropriative	0.00035568202027387493	0.00022946305644791178	
are	0.0026676151520540633	0.003212482790270766	
area	0.0005335230304108126	0.0009178522257916473	
around	0.0010670460608216243	0.0013767783386874702	
arrive	0.00035568202027387493	0.00022946305644791178	
arrived	0.0005335230304108126	0.00022946305644791178	
as	0.003378979192601811	0.003212482790270766	
asian	0.00035568202027387493	0.00022946305644791178	
ask	0.00035568202027387493	0.001147315282239559	
asked	0.001778410101369375	0.00022946305644791178	
assistant	0.00035568202027387493	0.00022946305644791178	
at	0.005868753334518933	0.0027535566773749403	
ate	0.00035568202027387493	0.001147315282239559	
attendant	0.0005335230304108126	0.00022946305644791178	
attention	0.00035568202027387493	0.00022946305644791178	
attentive	0.00035568202027387493	0.0006883891693437356	
attitude	0.00035568202027387493	0.00022946305644791178	
audience	0.00035568202027387493	0.00022946305644791178	
average	0.00071136404054775	0.00022946305644791178	
avoid	0.00035568202027387493	0.00022946305644791178	
away	0.00071136404054775	0.0004589261128958236	
